,PC1,PC2,PC3,Group
NonhostCAM.3,-8.790886291614926,-1.2277558618896158,53.62824339067108,nonhostTET
raffseed,17.297689177305966,64.14102118669442,-1.6413371195011959,RAFFSEED
raffseed.1,17.548373944142185,66.31208924166833,-1.8316522660885564,RAFFSEED
raffseed.2,11.377139839951855,46.51374751780618,-0.9658301508590099,RAFFSEED
raffseed.3,12.164303956190793,49.234715718591794,-1.0571579600471577,RAFFSEED
Raffbudspec,1.826165153033342,-1.9404220082476764,1.228209670765429,BUD
Raffbudspec.1,1.7861016388713855,-1.6497160596587095,1.3471128504572158,BUD
Raffbudspec.2,15.001236452467777,-6.062758352778982,-0.26013153354866186,BUD
Raffbudspec.3,15.596152143696493,-5.833649120329362,0.16750118048157003,BUD
Raffbudspec.4,25.12519794349247,-6.7441683599382865,-4.728316782758692,BUD
Raffbudspec.5,25.009405690545396,-7.0371091509007435,-4.471655845332697,BUD
Raffbudspec.6,21.331345336740878,-7.001327533866749,-3.3464221740100193,BUD
Raffbudspec.7,21.285896707230183,-6.980930456188323,-3.4003120853090714,BUD
Raffbudspec.8,19.731651325483988,-2.437812272768225,-4.624876772072814,BUD
Raffbudspec.9,20.286568202593784,-2.9858806886142344,-5.029740958516062,BUD
Raffbudspec.10,6.928496952927986,-0.9307333292266476,-2.49002655014806,BUD
Raffbudspec.11,7.441548848213454,-0.8843400244649933,-2.3479136185017384,BUD
Raffbudspec.12,0.7843142608359646,-2.3639985322368946,-4.947427053521549,BUD
Raffbudspec.13,0.6270291204833374,-2.391695304866157,-4.733273197534627,BUD
Raffbudspec.14,22.936106687937496,-5.827039339955132,-4.328725019193635,BUD
Raffbudspec.15,23.0461127969517,-5.725701167770571,-4.5142741758738625,BUD
infectedILO,0.5513479441762755,-1.2592097263028792,2.3564265552615646,INFECTED
infectedILO.1,0.17894878851052426,-0.4174141288597092,2.247348248979537,INFECTED
infectedILO.2,-7.236592023251274,-2.3249711809774967,-2.3368536057679137,INFECTED
infectedILO.3,-7.862012526989078,-2.4570371847728354,-2.588825733135973,INFECTED
infectedILO.4,-6.60825568210306,-0.7333336847114551,-4.1864139351682645,INFECTED
infectedILO.5,-7.15982658916738,-0.7749417225770748,-4.522989287256148,INFECTED
infectedILO.6,-0.12935612567489801,1.0349111569359695,-1.644469396356199,INFECTED
infectedILO.7,-0.2486479041226337,0.6603469465580825,-1.4873627690661,INFECTED
infectedILO.8,-1.7006797177345259,1.0834486072399212,-2.201892589153819,INFECTED
infectedILO.9,-1.2886446002805294,1.2939017242548494,-2.127064520177476,INFECTED
infectedILO.10,-11.685446891549923,-1.7577564140216024,-8.138108483311987,INFECTED
infectedILO.11,-11.755549665126383,-1.9386583337867318,-7.686120304897486,INFECTED
infectedILO.12,-2.359898701475566,1.2413937645121969,-2.51033152196185,INFECTED
infectedILO.13,-1.978945652742901,1.336387398145652,-2.537027775594604,INFECTED
infectedILO.14,-9.458654206817798,-1.111000174692485,-6.3922112503744435,INFECTED
infectedILO.15,-9.646065546458741,-1.3507042560815528,-6.206924224578205,INFECTED
infectedILO.16,-0.9822913650698754,1.5991224143880012,-2.490503940545114,INFECTED
infectedILO.17,-1.6872689134893843,2.067951192685407,-2.1312721862490056,INFECTED
UNinfectedILO,-9.254777081132705,-2.904737254332558,-0.48574178865371687,UNINFECTED
UNinfectedILO.1,-9.005399146907779,-2.7673460211291308,-0.690933054606459,UNINFECTED
UNinfectedILO.2,-8.632936902142296,-1.939401444139844,3.1884865012160386,UNINFECTED
UNinfectedILO.3,-8.888936007452237,-1.8590145320345393,3.4692629798534265,UNINFECTED
UNinfectedILO.4,-10.851329148308242,-2.7564926491281985,-3.9337779555629577,UNINFECTED
UNinfectedILO.5,-10.576767187342563,-2.985674653957266,-4.24891843116012,UNINFECTED
UNinfectedILO.6,-22.48099845957966,-4.3228935077358495,-9.488667019416486,UNINFECTED
UNinfectedILO.7,-22.77628235955618,-4.749772973781233,-9.290422505881423,UNINFECTED
UNinfectedILO.8,-0.16432214555495323,0.4366427573137007,-1.5001448403548419,UNINFECTED
UNinfectedILO.9,-0.790289051036659,0.9329826084762289,-1.6241697291475294,UNINFECTED
UNinfectedILO.10,-2.848695551346342,1.0948529192567469,-1.0044555660018248,UNINFECTED
UNinfectedILO.11,-3.189819114822814,1.1522394016057123,-1.2249813705160273,UNINFECTED
UNinfectedILO.12,-15.702349737255837,-2.8735840908003665,-6.160722855802585,UNINFECTED
