Feature_Label,PC1,PC2,PC3
3.62 min | Palmitic acid,0.007704376072205309,-0.016747717520747957,0.013000184784082968
3.64 min | Stearic acid,0.011376870183359561,-0.02056098653052324,0.015248237270736556
"3.69 min | 2-[(3S)-3-[[(2S)-1-(Carboxymethoxy)-1-oxo-4-phenylbutan-2-yl]amino]-2-oxo-4,5-dihydro-3H-1-benzazepin-1-yl]acetic acid",-0.00412995447174768,-0.00015146065026860946,0.05321918496096816
3.74 min | 4-(Phenylamino)benzoic acid,0.00932058680142514,-0.0012143593808562616,-0.004053103846217029
3.8 min | Methylmalonic acid,-0.020430105639936115,-0.006529602829908186,0.0026961620114167076
3.89 min | 3-Dehydroquinic acid,0.025660789687771305,-0.021186480123762504,0.05061717488800585
4.0 min | Palmitic acid,0.015412898302837014,-0.02036777103454603,0.01728958830622172
4.01 min | 2-O-Galloylgalactaric acid,0.04109418447430846,-0.01688548058026186,-0.008876706130402303
4.05 min | Stearic acid,0.004477380292555289,-0.020616132610552146,0.02231079936225224
4.07 min | D-Glucuronic acid 1-phosphate,0.030098610698969474,0.03235074502225947,-0.008835949403212648
4.08 min | Methylmalonic acid,0.026135030729512124,-0.009523241736644806,-0.005643485463195682
4.09 min | Imidazoleacetic acid ribotide,-0.023797160186013185,0.00044380607520112906,-0.018906821387831948
4.18 min | Caryoptosidic acid,-0.015905398704261983,0.0024241189148459753,0.014749167891350487
4.19 min | 2-Hydroxy-2-methyl-butanedioic acid.mol,-0.002675835457151459,-0.0023874288570928646,0.06164052752178844
4.2 min | Fumaric acid,-0.0029757282999919987,-0.0029057689690932175,0.061876964760371404
"4.2 min | (5R,6S)-3-(2-Carbamoyloxyethylsulfanyl)-6-(1-hydroxyethyl)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",0.003935168030569874,-0.0005763070652764451,0.05405239328183783
4.25 min | Palmitic acid,-0.008102706529303593,-0.006257467560168537,0.007084693136787509
4.29 min | 2-Hydroxyadipic acid,0.009527417374685666,-0.015328617938961935,-0.0004962707732765356
4.39 min | Neuraminic acid.mol,-0.016693851562893575,0.0015188463031154894,-0.02952476109422159
4.39 min | Stearic acid,0.010211010806818585,-0.02072758936229036,0.019969763291695364
4.41 min | 2-O-p-Coumaroylhydroxycitric acid,0.043248366569177715,-0.023529934974106628,0.0010439473114166598
4.44 min | Palmitic acid,0.010671478878142786,-0.016399827133021905,0.017501790454637022
4.46 min | Allantoic acid,0.04412064879946512,-0.019236374720768497,-0.006673300255259426
4.46 min | Fukiic acid,0.04699531421894034,-0.020997119587835004,-0.006383186456819442
4.53 min | Luteolin 7-O-(6''-O-malonyl)-beta-D-diglucoside,0.04351337560923344,-0.018854239233123522,-0.007520744159773156
4.7 min | Stearic acid,-0.0063064815477362765,-0.015155316187771615,0.017008799950430052
4.74 min | Palmitic acid,0.009117137755353028,-0.017600342463177657,0.010351581432261094
4.77 min | 2-Hydroxyadipic acid,0.045805473976402666,-0.01125959711481888,-0.009512135537607823
5.0 min | [Gallocatechin(4alpha->8)]2catechin,-0.00850605540502563,-0.0007257112044325669,0.08377915317161315
5.02 min | Stearic acid,0.010570967305066424,-0.023171656022713108,0.01445893255853595
5.02 min | Palmitic acid,0.0070597828896066285,-0.01622203729160512,0.015739189927316318
5.23 min | Palmitic acid,0.010569592202757046,-0.0179097068240487,0.013994562746718918
"5.31 min | 1H-Indole-3-carboxylic acid, 1-methyl-, (1-(2-((methylsulfonyl)amino)ethyl)-4-piperidinyl)methyl ester",0.04449140988672009,-0.018115906272922557,-0.009727548574112274
5.34 min | Quercetin 3-arabinoside 7-glucoside,-0.007346036620809596,-0.00018626364414209775,0.06985720741446956
"5.36 min | Myricetin 3,3'-digalactoside",-0.006011677135180916,9.411636412292878e-05,0.05434637816912464
5.37 min | Stearic acid,0.005908884862878629,-0.018925957319310568,0.016669299531481996
5.43 min | Palmitic acid,0.003717062662800772,-0.012114530326614041,0.015275737158175186
5.56 min | Gallic acid hexoside,0.018046327803425247,-0.004381354640633621,0.00520152750978227
5.65 min | Stearic acid,0.015397040708411676,-0.02224936958060169,0.0204863808711721
5.68 min | Palmitic acid,0.002348154000126681,-0.01582578592013457,0.015546696110881206
5.88 min | Stearic acid,0.002607647478049391,-0.018009219057041843,0.00987130376929215
5.89 min | Palmitic acid,0.007742554767200757,-0.011145044208443311,0.001027016439658103
5.93 min | Oxoadipic acid.mol,-0.007885500156058774,-0.008445361779046668,-0.022838813051727296
5.97 min | GALLIC ACID,0.03997946586850422,-0.011619739464998521,-0.01198280900059549
5.98 min | Larixinic Acid,0.042395977660302925,-0.011434434403603122,-0.010868235855975523
6.03 min | Palmitic acid,0.014763822040353768,-0.019738590833266918,0.018588491708184815
6.12 min | Stearic acid,0.016987997819444885,-0.024762942733455393,0.020645718021070278
6.26 min | Palmitic acid,0.0038489221708353587,-0.015823617638661518,0.014895066535727272
6.27 min | Methylenediphosphonic acid,-0.00688993712428052,0.01110550304366207,0.004407212618972077
6.38 min | Stearic acid,-4.264977586087307e-05,-0.0172311698517132,0.017828982571008276
6.59 min | Palmitic acid,0.01951189406848848,-0.023575645353773687,0.016502850377638465
6.6 min | Stearic acid,0.010665565114640603,-0.021460054393239617,0.016780790854526578
6.65 min | Methylenediphosphonic acid,0.005702516696631023,0.00012096395470980102,-0.025203181021902728
6.84 min | Stearic acid,0.005927902174193037,-0.018888911236788944,0.02063087758254597
6.86 min | Palmitic acid,0.007291000664402244,-0.017155828706788043,0.017010117401847
7.07 min | Stearic acid,0.017603096285999504,-0.02432888029732308,0.019471265502084757
7.11 min | Palmitic acid,0.01826673591043022,-0.022062009876364665,0.01796110944990575
7.36 min | Palmitic acid,0.022672567338774968,-0.02297026015303148,0.01381040577313476
7.39 min | Stearic acid,0.02120561781976075,-0.02522591918442156,0.014182231147506181
7.59 min | Palmitic acid,0.013674541868681802,-0.02022747276417899,0.016608267253243405
7.62 min | Stearic acid,0.017481632754104384,-0.02388292999545739,0.015206177236257055
