Feature_Label,PC1,PC2,PC3
3.2 min | Daucic acid,-0.034119538800422934,0.00018085718997650453,-0.026406073692878562
3.23 min | Aminoadipic acid,0.0044070019061584215,0.002113516213143435,0.012082796317897852
3.24 min | Formiminoglutamic acid,-0.020449676138521142,0.0020300585883565882,-0.014126597898999135
"3.28 min | 2,3-dihydroxy-Valeric acid.mol",0.029167290645693112,-0.025004183046267458,-0.004525605364238268
3.29 min | Apigenin 6-C-arabinosyl-8-C-glucoside,0.04534660605401062,-0.03883317597947942,-0.005215722196598003
3.34 min | CITRIC ACID,0.051283207034143165,-0.04352449473480585,-0.013759578011222679
3.34 min | 3-Methyluric acid,0.022706982299497313,-0.020594179756187065,-0.01831512885091452
3.34 min | 4'-Methylepicatechin 3'-sulfate,0.0470232869015245,-0.03857773678250864,-0.013755720666482141
3.34 min | 2-Hydroxy-2-methyl-butanedioic acid.mol,0.044789682905608856,-0.03730519532598033,-0.012575630592492018
3.35 min | Glutaconic acid,0.04978141989640172,-0.04158463627154028,-0.012328137902258443
3.36 min | Pyrroline hydroxycarboxylic acid,0.012650149339554105,-0.02782570668209381,-0.018696601899087884
3.45 min | Gallocatechin-(4alpha->8)-gallocatechin-(4alpha->8)-gallocatechin,-0.002069962968321456,0.002223028617004849,0.0193918597148636
3.52 min | Keto-3-deoxy-D-manno-octulosonic acid,-0.020571440192089188,-0.017567410107770874,-0.026123459482895833
3.53 min | 2-Methylcitric acid,0.005471457545170881,-0.03647294905508347,-0.03019782168536388
3.6 min | Glutamic acid glutamate,0.0114540119578192,-0.005627515444370368,0.01824084157416278
3.62 min | Palmitic acid,0.005839231117552478,-0.02036378479857945,-0.01809065056306389
3.64 min | Stearic acid,0.008598106648691069,-0.024865359710665374,-0.020533401581217692
"3.69 min | 2-[(3S)-3-[[(2S)-1-(Carboxymethoxy)-1-oxo-4-phenylbutan-2-yl]amino]-2-oxo-4,5-dihydro-3H-1-benzazepin-1-yl]acetic acid",0.000484387644963665,0.006221329812833729,0.03479765642351433
3.74 min | 4-(Phenylamino)benzoic acid,0.007020819408648081,-0.003145206380076466,-0.0025436299898201234
3.8 min | Methylmalonic acid,-0.020216298269870918,-0.00047599108011421224,0.006907566596477961
3.89 min | 3-Dehydroquinic acid,0.008316602651211346,-0.0022310418614350804,0.030936339727725883
4.0 min | Palmitic acid,0.012676583649383847,-0.024988179112278016,-0.014747751696216203
4.01 min | 2-O-Galloylgalactaric acid,0.03859121037095999,-0.028783646471459066,-0.00622754043332157
4.05 min | Stearic acid,0.0018530626013458643,-0.022909903405534424,-0.018987896970472026
4.07 min | D-Glucuronic acid 1-phosphate,0.037777727203903565,0.02497632314228638,-0.0023655265588886296
4.08 min | Methylmalonic acid,0.024442095209030217,-0.017612178157365044,-0.015071516861398066
4.09 min | Imidazoleacetic acid ribotide,-0.013669969796214565,0.008536937246143132,0.00997625469460168
4.18 min | Caryoptosidic acid,-0.01583276147264788,0.006021993049816964,0.006105667547522201
4.19 min | 2-Hydroxy-2-methyl-butanedioic acid.mol,0.0010508570983951211,0.0008983537116538367,0.02765431981054051
4.2 min | Fumaric acid,0.00017185780459541824,-0.00207958585579322,0.016573993254633365
"4.2 min | (5R,6S)-3-(2-Carbamoyloxyethylsulfanyl)-6-(1-hydroxyethyl)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",0.0017627140353566537,0.006085464524235798,0.02032579896011891
4.25 min | Palmitic acid,-0.008416258948500647,-0.006073487192339341,-0.014818556890220028
4.29 min | 2-Hydroxyadipic acid,0.005893703322627018,-0.01785028117776483,-0.01263614421607942
4.39 min | Neuraminic acid.mol,-0.016644771562609476,0.006534418360682959,-0.007571295297985806
4.39 min | Stearic acid,0.007802645253933985,-0.02469522119238239,-0.019480313790265078
4.41 min | 2-O-p-Coumaroylhydroxycitric acid,0.037551346781882905,-0.03256539895691904,0.02354282117745255
4.44 min | Palmitic acid,0.009060520895581734,-0.02019660762728854,-0.014294191360164675
4.46 min | Allantoic acid,0.043019992036385554,-0.03306061278808572,-0.0034212592531950546
4.46 min | Fukiic acid,0.045541704026003896,-0.03550129106745421,-0.0036926744556269953
4.53 min | Luteolin 7-O-(6''-O-malonyl)-beta-D-diglucoside,0.04221960024763135,-0.03277012716402599,-0.007834362617656581
4.7 min | Stearic acid,-0.00848326390242618,-0.015008789948070696,-0.017490937957696084
4.74 min | Palmitic acid,0.006142556097435066,-0.020743372453217154,-0.016356231904887372
4.77 min | 2-Hydroxyadipic acid,0.04382751084948572,-0.022952851718283904,-0.013245569277059284
5.0 min | [Gallocatechin(4alpha->8)]2catechin,-0.003413647196950684,0.0023274185286927215,0.030209280402990264
5.02 min | Stearic acid,0.006958945409382955,-0.026863402125156817,-0.02083463485335733
5.02 min | Palmitic acid,0.005290722969491236,-0.019301639476941655,-0.015303472299401509
5.23 min | Palmitic acid,0.007818636322365595,-0.02121068164425413,-0.013700012591049431
"5.31 min | 1H-Indole-3-carboxylic acid, 1-methyl-, (1-(2-((methylsulfonyl)amino)ethyl)-4-piperidinyl)methyl ester",0.043606147959745586,-0.032551251748759835,-0.008794593967988366
5.34 min | Quercetin 3-arabinoside 7-glucoside,-0.002800213531450886,0.0024948633779574556,0.031660061500973224
"5.36 min | Myricetin 3,3'-digalactoside",-0.00242795686783315,0.0021451963345900087,0.026772926879276154
5.37 min | Stearic acid,0.003451725575084956,-0.021659615712507366,-0.018309038572007042
5.43 min | Palmitic acid,0.0029348975434660136,-0.014401910723786647,-0.014726004050081981
5.56 min | Gallic acid hexoside,0.011345643936843286,-0.006332234482220503,0.020633335156563907
5.65 min | Stearic acid,0.012313184586206007,-0.02696709775377564,-0.01884478716561481
5.68 min | Palmitic acid,0.0004523879861046062,-0.01806593211599304,-0.01715607926608795
5.88 min | Stearic acid,-0.00031162050004805367,-0.020263328434085168,-0.01993394563564838
5.89 min | Palmitic acid,0.005458907008306422,-0.013934637760124604,-0.012837324068582066
5.93 min | Oxoadipic acid.mol,-0.007350011582082103,-0.00030140549954180303,0.030745279117883995
5.97 min | GALLIC ACID,0.030755809343365432,-0.01781535279767795,0.009342816936397293
5.98 min | Larixinic Acid,0.03940684361725094,-0.02287993957157314,-0.0016874983044207997
6.03 min | Palmitic acid,0.012317311645738323,-0.024194244057905587,-0.013412359665021096
6.12 min | Stearic acid,0.013472083824021153,-0.029918597811655366,-0.0191658639647641
6.26 min | Palmitic acid,0.001893417181663035,-0.01820058789252569,-0.015592155491661751
6.27 min | Methylenediphosphonic acid,-0.00439462271192,0.011239257692493862,-0.01385164851052072
6.38 min | Stearic acid,-0.0018067449295008668,-0.019076598480456418,-0.019889022339975373
6.59 min | Palmitic acid,0.01576626161692621,-0.029005775180132372,-0.016059366069924922
6.6 min | Stearic acid,0.007314677930467508,-0.02527421602889807,-0.01866193957974729
6.65 min | Methylenediphosphonic acid,0.004106160695110219,-0.0026022673242012432,-0.020931977987751822
6.84 min | Stearic acid,0.003915878810624948,-0.02191626574886497,-0.016196240734238188
6.86 min | Palmitic acid,0.005243046412544622,-0.020155880929251233,-0.014861950415836345
7.07 min | Stearic acid,0.014137495764869196,-0.029703514541013658,-0.018266962265099575
7.11 min | Palmitic acid,0.015247016275996658,-0.02728031209700188,-0.01458943575250086
7.36 min | Palmitic acid,0.01889999474737441,-0.02896936722066977,-0.014267725804457725
7.39 min | Stearic acid,0.016869728569442306,-0.031130972191494705,-0.018691064513448076
7.59 min | Palmitic acid,0.01089778073196119,-0.024625576133682235,-0.015525529013729339
7.62 min | Stearic acid,0.01365245088202722,-0.02914965032691865,-0.01880619208348824
"7.64 min | Benzo(a)naphthacene-2-carboxylic acid, 5,6,8,13-tetrahydro-8,13-dioxo-3-(2-hydroxypropyl)-7-methoxy-1,6,9,14-tetrahydroxy-",-0.0303509887116579,-0.0007357672951153328,-0.02167910786757629
7.7 min | (2S)-3-[3-[(4-Carbamimidoylbenzoyl)amino]propanoylamino]-2-[(4-ethylphenyl)sulfonylamino]propanoic acid,0.028859510433478834,-0.0209340307227759,-0.006380248232010452
"7.84 min | (1RS,2RS)-Guaiacylglycerol 1-glucoside",-0.008684648598896574,0.0029541612304930247,0.01809508790865316
7.86 min | Stearic acid,-0.002218979451942097,-0.016199633137380206,-0.01786450389717747
7.87 min | (2S)-3-[3-[(4-Carbamimidoylbenzoyl)amino]propanoylamino]-2-[(4-ethylphenyl)sulfonylamino]propanoic acid,0.0372299396145301,-0.02661413782512141,-0.011123555559255417
7.91 min | Dimethyl fukiic acid,-0.00645700719984752,-0.0053643647784715025,-0.0071612448507365435
8.03 min | Palmitic acid,0.01216387623401661,-0.02469163130008522,-0.016113294062355413
8.06 min | Stearic acid,-0.0005862102946032393,-0.01148611709606471,-0.015653088953702765
8.12 min | Dimethyl fukiic acid,-0.010144948793508461,-0.00024656069926549235,-0.005978739737776839
"8.17 min | (1RS,2RS)-Guaiacylglycerol 1-glucoside",-0.014502768190909352,0.004903898667450889,0.01934984437218191
8.21 min | Ethylvanillin glucoside,-0.005653052493424028,0.003395883948983199,0.02152412393976403
"8.22 min | (1RS,2RS)-Guaiacylglycerol 1-glucoside",-0.007641385075075639,0.0043415697265986215,0.02228903330406542
8.27 min | Stearic acid,0.009832155754096919,-0.02794088151998539,-0.019254126336358233
8.28 min | Gallocatechin-(4alpha->8)-catechin-(4alpha->8)-catechin,-0.003952456091977587,0.0023934251244717816,0.039017165635444925
8.31 min | (3-{[3-(2-Amino-2-Oxoethyl)-1-Benzyl-2-Ethyl-1h-Indol-5-Yl]oxy}propyl)phosphonic Acid,-0.016760548307115174,0.0026339715302785027,-0.00918936231128822
8.39 min | Palmitic acid,0.0072671805050928216,-0.02237064831133507,-0.015789124530341377
8.42 min | 3-(5-(4-(1H-Imidazol-1-yl)phenyl)-1-(4-carbamoyl-2-methylphenyl)-1H-pyrrol-2-yl)propanoic acid,0.050666632552117,-0.03559473290635062,-0.01129740129823448
"8.51 min | Benzoic acid + 2O, O-Hex",0.03537502013421935,-0.024592407473354384,-0.002466289304168123
8.57 min | Phenolphthalein glucuronide,0.01767738481880811,-0.015950784410734827,0.05000125177658856
8.62 min | Cinnamic acid,0.016383723186365037,0.0036505633144520043,0.003830070146667946
8.67 min | Palmitic acid,-0.0015738919455244194,-0.012104635532264905,-0.015214637167069285
8.71 min | Stearic acid,0.0012839025870213783,-0.020419043270059098,-0.01908455433888006
8.74 min | GALLIC ACID,0.007738243094743244,-0.004507263213140589,0.05568359320347066
8.76 min | Vanillic acid + O-sulfonateHex,-0.0012519592969317298,8.200753362355791e-05,0.028322498253662478
8.77 min | Allantoic acid,0.002125667091292554,0.0015136326838954338,0.05926104150303742
"8.9 min | Epicatechin-(2beta->7,4beta->6)-catechin",-0.001122203481048989,0.0003812902351471018,0.05684170692259833
"8.92 min | 4-Hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid-O-methyl-O-glucuronide",-0.050474561545896676,0.00015778565650451906,-0.02802515357173095
"8.92 min | (2S)-2-[[4-[(2,4-Diaminopteridin-6-yl)methyl]-2,3-dihydro-1,4-benzothiazine-7-carbonyl]amino]hexanedioic acid",-0.049443364894967104,0.00160276277790984,-0.02696603130834877
8.96 min | (3-{[3-(2-Amino-2-Oxoethyl)-1-Benzyl-2-Ethyl-1h-Indol-5-Yl]oxy}propyl)phosphonic Acid,-0.03588733550550802,0.0010936260515596995,-0.023343147397959885
"8.96 min | 2,3-Butanediol apiosylglucoside",-0.028752758398884665,0.002496901807320323,-0.016299143343983673
8.96 min | Procyanidin trimer C1,-0.020925395438639163,0.0008917389062244846,0.04073349627148347
9.03 min | Delphinidin 3-glucoside,0.033272489005788025,-0.028749996625436917,-0.007221040049036027
9.05 min | Stearic acid,0.011946354719409415,-0.027484003467869354,-0.017298747632565063
9.07 min | trans-Caffeic acid [apiosyl-(1->6)-glucosyl] ester,-0.0068934688522111435,0.001036135714227001,-0.004551893069058112
9.08 min | Palmitic acid,0.018369924265230427,-0.02769858399710488,-0.01338545639657423
9.15 min | 2-Amino-3-phosphonopropionic acid.mol,0.05819797004901215,-0.04596922158384962,-0.008825037931272511
"9.19 min | 4-Hydroxy-5-(3',4',5'-trihydroxyphenyl)-valeric acid-O-methyl-O-glucuronide",-0.023017551126064642,-0.0008146698302410268,-0.023526153174471775
